B_loc(T)	f(B_loc)
File: FieldSweep 11.50K.txt
lambda = 4.431e+04
1.00000000e-06	4.35689168e+01
2.89953623e-03	9.63529758e+01
5.79807246e-03	1.67567319e+02
8.69660870e-03	2.05920062e+02
1.15951449e-02	1.99056290e+02
1.44936812e-02	1.60579555e+02
1.73922174e-02	1.05994403e+02
2.02907536e-02	5.23261949e+01
2.31892899e-02	1.58700248e+01
2.60878261e-02	6.59331850e-01
2.89863623e-02	2.26698903e-28
3.18848986e-02	5.81510394e-25
3.47834348e-02	1.79954079e-33
3.76819710e-02	1.11327995e-28
4.05805072e-02	1.18144247e-29
4.34790435e-02	3.15241440e-25
4.63775797e-02	1.90378175e-31
4.92761159e-02	1.09367676e-26
5.21746522e-02	3.98611415e-27
5.50731884e-02	5.62260610e-28
5.79717246e-02	3.27673099e-28
6.08702609e-02	1.97688543e-27
6.37687971e-02	1.13556527e-27
6.66673333e-02	9.73651572e-28
6.95658696e-02	6.29708218e-28
7.24644058e-02	2.35129854e-28
7.53629420e-02	3.14361071e-28
7.82614783e-02	2.18908901e-28
8.11600145e-02	4.49453501e-28
8.40585507e-02	1.17066958e-27
8.69570870e-02	9.94161956e-28
8.98556232e-02	1.49213040e-27
9.27541594e-02	2.89511952e-27
9.56526957e-02	9.80751320e-28
9.85512319e-02	1.72563323e-27
1.01449768e-01	1.44400989e-27
1.04348304e-01	1.10913843e-27
1.07246841e-01	5.05857055e-28
1.10145377e-01	3.21953857e-28
1.13043913e-01	4.06361974e-28
1.15942449e-01	1.12240116e-28
1.18840986e-01	2.46519033e-28
1.21739522e-01	1.19869880e-29
1.24638058e-01	3.26967068e-26
1.27536594e-01	1.92592994e-34
1.30435130e-01	1.71453987e-28
1.33333667e-01	1.73302880e-29
1.36232203e-01	1.28066638e-28
1.39130739e-01	4.83670343e-29
1.42029275e-01	1.97264530e-28
1.44927812e-01	2.00814404e-28
1.47826348e-01	1.64576106e-28
1.50724884e-01	2.45927387e-28
1.53623420e-01	2.17873521e-28
1.56521957e-01	2.80587963e-28
1.59420493e-01	2.90892459e-28
1.62319029e-01	2.33404220e-28
1.65217565e-01	3.43598228e-28
1.68116101e-01	1.55306991e-28
1.71014638e-01	2.42229602e-28
1.73913174e-01	2.02835860e-28
1.76811710e-01	2.53815996e-28
1.79710246e-01	1.98891556e-28
1.82608783e-01	1.73648007e-28
1.85507319e-01	1.60829017e-28
1.88405855e-01	1.42142874e-28
1.91304391e-01	1.19167300e-28
1.94202928e-01	8.86235923e-29
1.97101464e-01	6.07915935e-29
2.00000000e-01	3.21707338e-29
