B_loc(T)	f(B_loc)
File: FieldSweep 20.00K.txt
lambda = 8.697e+03
1.00000000e-06	3.62045245e+01
2.89953623e-03	9.07925417e+01
5.79807246e-03	1.82147544e+02
8.69660870e-03	2.04186923e+02
1.15951449e-02	1.50875856e+02
1.44936812e-02	8.28793023e+01
1.73922174e-02	3.15633741e+01
2.02907536e-02	4.85660953e+00
2.31892899e-02	9.25487652e-20
2.60878261e-02	1.06696741e-17
2.89863623e-02	4.67923859e-19
3.18848986e-02	1.19131989e-18
3.47834348e-02	1.48206991e-17
3.76819710e-02	2.52913039e-18
4.05805072e-02	5.39113788e-19
4.34790435e-02	3.21494333e-18
4.63775797e-02	9.76254772e-18
4.92761159e-02	7.38810881e-18
5.21746522e-02	8.81678404e-18
5.50731884e-02	1.23148850e-17
5.79717246e-02	2.56265956e-19
6.08702609e-02	2.13713512e-16
6.37687971e-02	4.59740384e-17
6.66673333e-02	3.10699507e-18
6.95658696e-02	4.25593992e-17
7.24644058e-02	1.76379053e-18
7.53629420e-02	4.46493643e-18
7.82614783e-02	1.90356024e-18
8.11600145e-02	2.55903431e-18
8.40585507e-02	1.35797504e-17
8.69570870e-02	3.58803107e-19
8.98556232e-02	1.61112218e-25
9.27541594e-02	9.75838803e-17
9.56526957e-02	1.82150761e-19
9.85512319e-02	2.81913715e-20
1.01449768e-01	5.82478737e-21
1.04348304e-01	3.32069597e-22
1.07246841e-01	1.78108684e-22
1.10145377e-01	4.60010195e-22
1.13043913e-01	7.06555172e-22
1.15942449e-01	8.55467978e-22
1.18840986e-01	9.53220201e-22
1.21739522e-01	1.03474208e-21
1.24638058e-01	1.11396356e-21
1.27536594e-01	1.19259979e-21
1.30435130e-01	1.26820897e-21
1.33333667e-01	1.33803929e-21
1.36232203e-01	1.40003759e-21
1.39130739e-01	1.45289834e-21
1.42029275e-01	1.49580039e-21
1.44927812e-01	1.52820250e-21
1.47826348e-01	1.54970559e-21
1.50724884e-01	1.56003318e-21
1.53623420e-01	1.55897709e-21
1.56521957e-01	1.54638197e-21
1.59420493e-01	1.52222112e-21
1.62319029e-01	1.48650594e-21
1.65217565e-01	1.43936747e-21
1.68116101e-01	1.38100333e-21
1.71014638e-01	1.31170973e-21
1.73913174e-01	1.23187095e-21
1.76811710e-01	1.14195573e-21
1.79710246e-01	1.04253794e-21
1.82608783e-01	9.34238832e-22
1.85507319e-01	8.17825328e-22
1.88405855e-01	6.94099500e-22
1.91304391e-01	5.63968942e-22
1.94202928e-01	4.28324436e-22
1.97101464e-01	2.87831944e-22
2.00000000e-01	1.45542092e-22
