B_loc(T)	f(B_loc)
File: FieldSweep 10.00K.txt
lambda = 4.431e+04
1.00000000e-06	1.28117382e+02
5.88332353e-03	2.15263889e+02
1.17656471e-02	2.20468648e+02
1.76479706e-02	1.66828661e+02
2.35302941e-02	9.72485095e+01
2.94126176e-02	4.13298287e+01
3.52949412e-02	9.87345855e+00
4.11772647e-02	2.34171047e-18
4.70595882e-02	8.77590886e-31
5.29419118e-02	1.41658938e-16
5.88242353e-02	4.65927251e-23
6.47065588e-02	7.54716289e-21
7.05888824e-02	1.28373923e-18
7.64712059e-02	2.02719148e-18
8.23535294e-02	2.44802189e-19
8.82358529e-02	4.89752987e-19
9.41181765e-02	9.08711334e-19
1.00000500e-01	8.06674228e-21
1.05882824e-01	1.03939538e-19
1.11765147e-01	4.08898047e-19
1.17647471e-01	1.85668110e-19
1.23529794e-01	2.60370006e-19
1.29412118e-01	1.82602091e-19
1.35294441e-01	1.51394438e-19
1.41176765e-01	7.99202763e-20
1.47059088e-01	6.05571059e-20
1.52941412e-01	6.25787837e-20
1.58823735e-01	8.39379976e-20
1.64706059e-01	1.75178581e-19
1.70588382e-01	8.43739331e-20
1.76470706e-01	4.46557951e-19
1.82353029e-01	1.40562921e-19
1.88235353e-01	2.61602266e-19
1.94117676e-01	1.24689099e-19
2.00000000e-01	1.11033497e-19
