B_loc(T)	f(B_loc)
File: FieldSweep 15.00K.txt
lambda = 1.097e+04
1.00000000e-06	4.14937962e+01
2.89953623e-03	1.02464517e+02
5.79807246e-03	2.02389086e+02
8.69660870e-03	2.35768966e+02
1.15951449e-02	1.91564966e+02
1.44936812e-02	1.21711974e+02
1.73922174e-02	5.77263690e+01
2.02907536e-02	1.47908563e+01
2.31892899e-02	5.26012452e-26
2.60878261e-02	2.00402224e-26
2.89863623e-02	3.59064241e-25
3.18848986e-02	3.31226917e-26
3.47834348e-02	1.92466284e-26
3.76819710e-02	3.60730315e-25
4.05805072e-02	1.41527957e-25
4.34790435e-02	1.42373616e-25
4.63775797e-02	3.13221956e-25
4.92761159e-02	1.44784375e-25
5.21746522e-02	7.00350712e-27
5.50731884e-02	1.43421223e-25
5.79717246e-02	6.35253910e-26
6.08702609e-02	6.70721096e-26
6.37687971e-02	1.02968436e-25
6.66673333e-02	5.10235233e-26
6.95658696e-02	8.51212471e-26
7.24644058e-02	9.97372620e-26
7.53629420e-02	4.25196028e-26
7.82614783e-02	5.77698618e-26
8.11600145e-02	2.49942689e-26
8.40585507e-02	1.28012403e-27
8.69570870e-02	2.34487326e-25
8.98556232e-02	1.67917017e-33
9.27541594e-02	6.73119233e-25
9.56526957e-02	4.94065646e-324
9.85512319e-02	3.12650652e-31
1.01449768e-01	2.05251747e-28
1.04348304e-01	1.94873453e-34
1.07246841e-01	1.63183767e-26
1.10145377e-01	3.28322907e-31
1.13043913e-01	1.31443948e-27
1.15942449e-01	1.48897496e-27
1.18840986e-01	1.93310365e-27
1.21739522e-01	2.16069002e-27
1.24638058e-01	2.48215084e-27
1.27536594e-01	2.76022431e-27
1.30435130e-01	3.11639501e-27
1.33333667e-01	3.33135960e-27
1.36232203e-01	3.62718244e-27
1.39130739e-01	3.93404933e-27
1.42029275e-01	4.07801645e-27
1.44927812e-01	4.29298105e-27
1.47826348e-01	4.43300386e-27
1.50724884e-01	4.50912893e-27
1.53623420e-01	4.59945351e-27
1.56521957e-01	4.50163476e-27
1.59420493e-01	4.50873450e-27
1.62319029e-01	4.43931474e-27
1.65217565e-01	4.40933803e-27
1.68116101e-01	4.27286509e-27
1.71014638e-01	3.82755311e-27
1.73913174e-01	3.77824931e-27
1.76811710e-01	3.40117379e-27
1.79710246e-01	3.18699806e-27
1.82608783e-01	2.88762534e-27
1.85507319e-01	2.65648910e-27
1.88405855e-01	2.10014494e-27
1.91304391e-01	1.81773274e-27
1.94202928e-01	1.25685264e-27
1.97101464e-01	8.98907001e-28
2.00000000e-01	4.34514447e-28
