B_loc(T)	f(B_loc)
File: FieldSweep 3.50K.txt
lambda = 3.511e+04
0.00000000e+00	3.06228923e+01
6.77966102e-03	4.87383965e+01
1.35593220e-02	4.18391247e+01
2.03389831e-02	2.39100682e+01
2.71186441e-02	9.45951519e+00
3.38983051e-02	2.78077900e+00
4.06779661e-02	2.61475852e+00
4.74576271e-02	5.85962203e+00
5.42372881e-02	1.02174403e+01
6.10169492e-02	1.43543697e+01
6.77966102e-02	1.80742031e+01
7.45762712e-02	2.16056431e+01
8.13559322e-02	2.50363982e+01
8.81355932e-02	2.81603945e+01
9.49152542e-02	3.09082076e+01
1.01694915e-01	3.31837871e+01
1.08474576e-01	3.49778472e+01
1.15254237e-01	3.64355533e+01
1.22033898e-01	3.75945016e+01
1.28813559e-01	3.83253521e+01
1.35593220e-01	3.83417484e+01
1.42372881e-01	3.74788232e+01
1.49152542e-01	3.56677469e+01
1.55932203e-01	3.29314162e+01
1.62711864e-01	2.94161067e+01
1.69491525e-01	2.53341622e+01
1.76271186e-01	2.09617077e+01
1.83050847e-01	1.65925257e+01
1.89830508e-01	1.24835489e+01
1.96610169e-01	8.85720675e+00
2.03389831e-01	5.84665563e+00
2.10169492e-01	3.50056621e+00
2.16949153e-01	1.78718409e+00
2.23728814e-01	6.95558615e-01
2.30508475e-01	1.47260050e-01
2.37288136e-01	1.10223480e-16
2.44067797e-01	2.96696880e-12
2.50847458e-01	6.26451384e-16
2.57627119e-01	2.71737852e-12
2.64406780e-01	1.74507485e-25
2.71186441e-01	2.85771639e-14
2.77966102e-01	1.87633154e-14
2.84745763e-01	3.11395317e-14
2.91525424e-01	4.50050375e-14
2.98305085e-01	4.42849914e-14
3.05084746e-01	9.02990784e-14
3.11864407e-01	8.16388812e-14
3.18644068e-01	2.61116315e-13
3.25423729e-01	1.23409849e-13
3.32203390e-01	2.38505538e-13
3.38983051e-01	2.23538354e-13
3.45762712e-01	2.32937069e-13
3.52542373e-01	2.33751088e-13
3.59322034e-01	2.28327674e-13
3.66101695e-01	2.15509649e-13
3.72881356e-01	1.94963380e-13
3.79661017e-01	1.66944918e-13
3.86440678e-01	1.32173362e-13
3.93220339e-01	9.17519151e-14
4.00000000e-01	4.74933748e-14
