B_loc(T)	f(B_loc)
File: FieldSweep 7.50K.txt
lambda = 2.205e+04
1.00000000e-06	2.59337870e+01
1.17656765e-02	4.07759586e+01
2.35303529e-02	3.34348991e+01
3.52950294e-02	2.33308870e+01
4.70597059e-02	1.81075427e+01
5.88243824e-02	1.76866078e+01
7.05890588e-02	1.90813537e+01
8.23537353e-02	1.98301590e+01
9.41184118e-02	1.87333535e+01
1.05883088e-01	1.56953354e+01
1.17647765e-01	1.16141823e+01
1.29412441e-01	7.42551526e+00
1.41177118e-01	3.88588900e+00
1.52941794e-01	1.46793510e+00
1.64706471e-01	2.71934399e-01
1.76471147e-01	2.02634696e-12
1.88235824e-01	5.68696482e-18
2.00000500e-01	5.08180925e-13
2.11765176e-01	1.09508335e-13
2.23529853e-01	4.96788819e-14
2.35294529e-01	1.51262829e-13
2.47059206e-01	1.53453108e-13
2.58823882e-01	2.21856800e-15
2.70588559e-01	4.52923377e-13
2.82353235e-01	7.33846710e-21
2.94117912e-01	2.26032839e-12
3.05882588e-01	1.81381232e-17
3.17647265e-01	2.39261365e-12
3.29411941e-01	1.93574959e-15
3.41176618e-01	1.80905695e-13
3.52941294e-01	1.25309074e-13
3.64705971e-01	1.17432489e-13
3.76470647e-01	9.73820523e-14
3.88235324e-01	7.05218785e-14
4.00000000e-01	3.97498859e-14
