B_loc(T)	f(B_loc)
File: FieldSweep 9.00K.txt
lambda = 4.431e+04
1.00000000e-06	4.25636146e+01
7.14383673e-03	7.29683227e+01
1.42866735e-02	7.90552174e+01
2.14295102e-02	6.41175841e+01
2.85723469e-02	4.20530872e+01
3.57151837e-02	2.24432014e+01
4.28580204e-02	9.14785182e+00
5.00008571e-02	2.30276923e+00
5.71436939e-02	2.61870721e-22
6.42865306e-02	2.75121579e-24
7.14293673e-02	2.07322171e-01
7.85722041e-02	3.83773383e-01
8.57150408e-02	4.63513040e-01
9.28578776e-02	4.57777491e-01
1.00000714e-01	3.95788875e-01
1.07143551e-01	3.23732002e-01
1.14286388e-01	2.40904965e-01
1.21429224e-01	1.49836354e-01
1.28572061e-01	5.64420628e-02
1.35714898e-01	1.81337427e-04
1.42857735e-01	2.57559619e-14
1.50000571e-01	7.99893582e-17
1.57143408e-01	1.11465591e-16
1.64286245e-01	8.16718778e-17
1.71429082e-01	6.74995491e-24
1.78571918e-01	1.21979787e-19
1.85714755e-01	4.19839366e-21
1.92857592e-01	1.91956116e-20
2.00000429e-01	4.87493075e-21
2.07143265e-01	7.38662171e-21
2.14286102e-01	6.88322946e-21
2.21428939e-01	2.80612507e-21
2.28571776e-01	1.57297299e-21
2.35714612e-01	1.10076312e-21
2.42857449e-01	3.03901364e-21
2.50000286e-01	4.98789064e-22
2.57143122e-01	6.49140375e-22
2.64285959e-01	5.42652022e-22
2.71428796e-01	9.34646155e-22
2.78571633e-01	6.37951667e-22
2.85714469e-01	3.88972527e-22
2.92857306e-01	4.06488097e-23
3.00000143e-01	1.28645705e-21
3.07142980e-01	1.03297929e-22
3.14285816e-01	9.17991599e-23
3.21428653e-01	6.49657060e-24
3.28571490e-01	2.74280502e-23
3.35714327e-01	7.97003066e-27
3.42857163e-01	1.06615938e-26
3.50000000e-01	9.76650026e-25
