B_loc(T)	f(B_loc)
File: FieldSweep 17.00K.txt
lambda = 1.097e+04
1.00000000e-06	4.04607286e+01
2.89953623e-03	9.96464319e+01
5.79807246e-03	1.96282085e+02
8.69660870e-03	2.24067002e+02
1.15951449e-02	1.74419341e+02
1.44936812e-02	1.03904373e+02
1.73922174e-02	4.46807584e+01
2.02907536e-02	9.38314607e+00
2.31892899e-02	3.51685551e-24
2.60878261e-02	8.17588064e-24
2.89863623e-02	1.49504414e-23
3.18848986e-02	8.79138147e-25
3.47834348e-02	3.45399907e-24
3.76819710e-02	4.41870654e-24
4.05805072e-02	2.86834874e-24
4.34790435e-02	2.03317854e-24
4.63775797e-02	2.96524610e-24
4.92761159e-02	1.28696030e-24
5.21746522e-02	5.08389299e-25
5.50731884e-02	2.37424413e-24
5.79717246e-02	1.33654494e-24
6.08702609e-02	7.07923776e-25
6.37687971e-02	7.81208954e-25
6.66673333e-02	9.64025892e-25
6.95658696e-02	2.20018986e-24
7.24644058e-02	2.08261803e-24
7.53629420e-02	3.38162582e-24
7.82614783e-02	7.19176088e-25
8.11600145e-02	6.09511801e-25
8.40585507e-02	4.03629202e-24
8.69570870e-02	1.09345462e-23
8.98556232e-02	1.70459245e-30
9.27541594e-02	2.76653141e-22
9.56526957e-02	4.94065646e-324
9.85512319e-02	1.69414190e-25
1.01449768e-01	1.59850830e-25
1.04348304e-01	3.73963595e-29
1.07246841e-01	1.30510158e-23
1.10145377e-01	4.57223781e-27
1.13043913e-01	9.74224285e-25
1.15942449e-01	1.02644057e-24
1.18840986e-01	1.30931978e-24
1.21739522e-01	1.55604391e-24
1.24638058e-01	1.79548529e-24
1.27536594e-01	2.02489866e-24
1.30435130e-01	2.24657488e-24
1.33333667e-01	2.45047965e-24
1.36232203e-01	2.64144710e-24
1.39130739e-01	2.81291390e-24
1.42029275e-01	2.95800120e-24
1.44927812e-01	3.08011687e-24
1.47826348e-01	3.17794824e-24
1.50724884e-01	3.24508346e-24
1.53623420e-01	3.28575082e-24
1.56521957e-01	3.29247823e-24
1.59420493e-01	3.27666314e-24
1.62319029e-01	3.22705957e-24
1.65217565e-01	3.15011723e-24
1.68116101e-01	3.04270593e-24
1.71014638e-01	2.90020610e-24
1.73913174e-01	2.74233294e-24
1.76811710e-01	2.54929552e-24
1.79710246e-01	2.33777983e-24
1.82608783e-01	2.10218178e-24
1.85507319e-01	1.84967056e-24
1.88405855e-01	1.56645057e-24
1.91304391e-01	1.27800515e-24
1.94202928e-01	9.66796371e-25
1.97101464e-01	6.52523653e-25
2.00000000e-01	3.28169292e-25
