B_loc(T)	f(B_loc)
File: FieldSweep 8.00K.txt
lambda = 3.511e+04
1.00000000e-06	1.66057627e+01
5.93318644e-03	2.62481682e+01
1.18653729e-02	2.19638594e+01
1.77975593e-02	1.42193828e+01
2.37297458e-02	9.58176073e+00
2.96619322e-02	8.84908150e+00
3.55941186e-02	1.00702612e+01
4.15263051e-02	1.16103144e+01
4.74584915e-02	1.30055460e+01
5.33906780e-02	1.40867321e+01
5.93228644e-02	1.47415751e+01
6.52550508e-02	1.48331301e+01
7.11872373e-02	1.43464314e+01
7.71194237e-02	1.33410115e+01
8.30516102e-02	1.19147143e+01
8.89837966e-02	1.01941474e+01
9.49159831e-02	8.33276042e+00
1.00848169e-01	6.47838540e+00
1.06780356e-01	4.71856491e+00
1.12712542e-01	3.20117826e+00
1.18644729e-01	1.99818198e+00
1.24576915e-01	1.10985923e+00
1.30509102e-01	5.15617431e-01
1.36441288e-01	1.75172368e-01
1.42373475e-01	2.84301163e-02
1.48305661e-01	8.64613384e-19
1.54237847e-01	2.68819244e-15
1.60170034e-01	8.17763006e-17
1.66102220e-01	1.12533473e-15
1.72034407e-01	7.45398013e-16
1.77966593e-01	2.92422582e-16
1.83898780e-01	1.25160120e-15
1.89830966e-01	1.44915799e-16
1.95763153e-01	9.88786691e-16
2.01695339e-01	5.59055609e-16
2.07627525e-01	3.93777347e-16
2.13559712e-01	6.91311056e-17
2.19491898e-01	1.77121344e-14
2.25424085e-01	5.03848074e-24
2.31356271e-01	8.36171947e-17
2.37288458e-01	1.02917375e-15
2.43220644e-01	8.35304783e-26
2.49152831e-01	9.09350685e-15
2.55085017e-01	1.24891061e-20
2.61017203e-01	7.13030279e-13
2.66949390e-01	1.10773064e-25
2.72881576e-01	5.66501043e-17
2.78813763e-01	5.01102246e-16
2.84745949e-01	2.47526881e-17
2.90678136e-01	2.44921459e-14
2.96610322e-01	4.03320757e-18
3.02542508e-01	2.39096458e-16
3.08474695e-01	1.72115457e-16
3.14406881e-01	1.86238511e-15
3.20339068e-01	3.24260534e-16
3.26271254e-01	1.45209974e-16
3.32203441e-01	3.10685257e-16
3.38135627e-01	3.16430031e-16
3.44067814e-01	2.41935028e-16
3.50000000e-01	1.28002430e-16
