B_loc(T)	f(B_loc)
File: FieldSweep 12.50K.txt
lambda = 1.385e+04
1.00000000e-06	4.01909731e+01
2.89953623e-03	9.82342603e+01
5.79807246e-03	1.91982176e+02
8.69660870e-03	2.32294776e+02
1.15951449e-02	2.05547266e+02
1.44936812e-02	1.48459219e+02
1.73922174e-02	8.57350407e+01
2.02907536e-02	3.24677133e+01
2.31892899e-02	4.67606482e+00
2.60878261e-02	5.39813201e-22
2.89863623e-02	6.49337917e-24
3.18848986e-02	2.75309748e-20
3.47834348e-02	5.31581986e-22
3.76819710e-02	2.65500904e-21
4.05805072e-02	6.39476659e-20
4.34790435e-02	4.10648250e-25
4.63775797e-02	8.86836568e-19
4.92761159e-02	3.27075615e-24
5.21746522e-02	1.06837000e-20
5.50731884e-02	3.05322865e-21
5.79717246e-02	3.02770205e-20
6.08702609e-02	6.96059722e-21
6.37687971e-02	1.16652177e-20
6.66673333e-02	5.58355153e-21
6.95658696e-02	7.62749180e-22
7.24644058e-02	3.56143017e-21
7.53629420e-02	5.43155709e-21
7.82614783e-02	5.10305814e-21
8.11600145e-02	6.08656620e-21
8.40585507e-02	1.61632475e-22
8.69570870e-02	4.04091704e-21
8.98556232e-02	5.30496633e-26
9.27541594e-02	6.80279927e-20
9.56526957e-02	3.01852009e-23
9.85512319e-02	1.50145253e-23
1.01449768e-01	4.63873385e-26
1.04348304e-01	1.79720311e-23
1.07246841e-01	7.97696621e-24
1.10145377e-01	7.92551039e-24
1.13043913e-01	8.16672670e-24
1.15942449e-01	8.68224099e-24
1.18840986e-01	9.24048314e-24
1.21739522e-01	9.77345019e-24
1.24638058e-01	1.02529893e-23
1.27536594e-01	1.06672675e-23
1.30435130e-01	1.10139466e-23
1.33333667e-01	1.12888583e-23
1.36232203e-01	1.14941231e-23
1.39130739e-01	1.16296367e-23
1.42029275e-01	1.16957591e-23
1.44927812e-01	1.16965416e-23
1.47826348e-01	1.16263488e-23
1.50724884e-01	1.14918732e-23
1.53623420e-01	1.12944624e-23
1.56521957e-01	1.10294935e-23
1.59420493e-01	1.07028893e-23
1.62319029e-01	1.03150916e-23
1.65217565e-01	9.86708482e-24
1.68116101e-01	9.36208132e-24
1.71014638e-01	8.80332167e-24
1.73913174e-01	8.18996812e-24
1.76811710e-01	7.52814537e-24
1.79710246e-01	6.82215273e-24
1.82608783e-01	6.07168726e-24
1.85507319e-01	5.28396705e-24
1.88405855e-01	4.46086169e-24
1.91304391e-01	3.60923428e-24
1.94202928e-01	2.73203279e-24
1.97101464e-01	1.83408938e-24
2.00000000e-01	9.22406971e-25
