B_loc(T)	f(B_loc)
File: FieldSweep 5.50K.txt
lambda = 1.385e+04
1.00000000e-06	3.24519739e+01
1.17656765e-02	4.81766693e+01
2.35303529e-02	3.04468077e+01
3.52950294e-02	1.14436210e+01
4.70597059e-02	2.58033490e+00
5.88243824e-02	2.60926265e+00
7.05890588e-02	7.23377315e+00
8.23537353e-02	1.26087264e+01
9.41184118e-02	1.65666364e+01
1.05883088e-01	1.82201160e+01
1.17647765e-01	1.80443345e+01
1.29412441e-01	1.65853473e+01
1.41177118e-01	1.41677998e+01
1.52941794e-01	1.13345577e+01
1.64706471e-01	8.41330434e+00
1.76471147e-01	5.67182690e+00
1.88235824e-01	3.37993979e+00
2.00000500e-01	1.71611556e+00
2.11765176e-01	6.76903042e-01
2.23529853e-01	1.62496695e-01
2.35294529e-01	1.10543355e-10
2.47059206e-01	1.43351238e-22
2.58823882e-01	1.60536365e-13
2.70588559e-01	5.04360346e-18
2.82353235e-01	5.03984845e-02
2.94117912e-01	1.18340881e-01
3.05882588e-01	1.14934143e-01
3.17647265e-01	4.88921350e-02
3.29411941e-01	4.02940540e-22
3.41176618e-01	2.76396251e-19
3.52941294e-01	1.09601644e-15
3.64705971e-01	6.72352263e-16
3.76470647e-01	6.90951720e-16
3.88235324e-01	5.39091449e-16
4.00000000e-01	3.03063939e-16
