B_loc(T)	f(B_loc)
File: FieldSweep 10.50K.txt
lambda = 2.205e+04
1.00000000e-06	2.17672096e+02
7.14382143e-03	3.57290964e+02
1.42866429e-02	3.40803377e+02
2.14294643e-02	2.02342484e+02
2.85722857e-02	7.04002910e+01
3.57151071e-02	5.17979767e+00
4.28579286e-02	1.36053641e-23
5.00007500e-02	6.33348527e-23
5.71435714e-02	9.23017241e-22
6.42863929e-02	1.57189055e-24
7.14292143e-02	5.21809401e-24
7.85720357e-02	2.69867675e-21
8.57148571e-02	6.03993817e-27
9.28576786e-02	1.84300526e-22
1.00000500e-01	8.68870839e-23
1.07143321e-01	3.08622581e-23
1.14286143e-01	7.02037296e-25
1.21428964e-01	3.19397537e-23
1.28571786e-01	1.74723224e-23
1.35714607e-01	2.57022243e-23
1.42857429e-01	4.63933011e-23
1.50000250e-01	3.37988906e-23
1.57143071e-01	1.64159001e-22
1.64285893e-01	7.34080384e-23
1.71428714e-01	1.12916616e-22
1.78571536e-01	5.51271778e-25
1.85714357e-01	3.14285335e-21
1.92857179e-01	1.05234045e-27
2.00000000e-01	8.03042125e-22
