B_loc(T)	f(B_loc)
File: FieldSweep 25.00K.txt
lambda = 6.893e+03
1.00000000e-06	3.02976880e+01
2.89953623e-03	7.64849141e+01
5.79807246e-03	1.54451216e+02
8.69660870e-03	1.70150515e+02
1.15951449e-02	1.20150094e+02
1.44936812e-02	6.14272758e+01
1.73922174e-02	2.10499663e+01
2.02907536e-02	2.16003068e+00
2.31892899e-02	5.82149835e-20
2.60878261e-02	5.66050602e-19
2.89863623e-02	5.55755059e-20
3.18848986e-02	7.80846672e-20
3.47834348e-02	8.29801580e-20
3.76819710e-02	4.07921230e-19
4.05805072e-02	4.22573113e-19
4.34790435e-02	4.75556028e-19
4.63775797e-02	1.36049232e-19
4.92761159e-02	7.02726120e-20
5.21746522e-02	5.29133156e-19
5.50731884e-02	3.02006569e-19
5.79717246e-02	4.70988479e-19
6.08702609e-02	1.36446153e-19
6.37687971e-02	3.17776219e-20
6.66673333e-02	3.52784621e-19
6.95658696e-02	2.55547931e-19
7.24644058e-02	3.60390839e-20
7.53629420e-02	1.28599594e-19
7.82614783e-02	2.43487955e-19
8.11600145e-02	2.29447291e-19
8.40585507e-02	2.40640343e-19
8.69570870e-02	6.18581173e-26
8.98556232e-02	4.80217120e-23
9.27541594e-02	2.89958200e-17
9.56526957e-02	1.94669315e-20
9.85512319e-02	6.02221825e-20
1.01449768e-01	1.45731259e-20
1.04348304e-01	1.75457925e-20
1.07246841e-01	1.45724896e-22
1.10145377e-01	3.51309862e-19
1.13043913e-01	1.27425933e-26
1.15942449e-01	1.52426856e-22
1.18840986e-01	1.01218899e-19
1.21739522e-01	4.94206781e-21
1.24638058e-01	1.43598066e-20
1.27536594e-01	2.29907662e-20
1.30435130e-01	2.69316877e-20
1.33333667e-01	3.21277822e-20
1.36232203e-01	3.66610398e-20
1.39130739e-01	4.08586671e-20
1.42029275e-01	4.46668694e-20
1.44927812e-01	4.80386748e-20
1.47826348e-01	5.09248922e-20
1.50724884e-01	5.32807962e-20
1.53623420e-01	5.50693191e-20
1.56521957e-01	5.62630441e-20
1.59420493e-01	5.68411036e-20
1.62319029e-01	5.67918985e-20
1.65217565e-01	5.61111854e-20
1.68116101e-01	5.48003270e-20
1.71014638e-01	5.28711964e-20
1.73913174e-01	5.03379526e-20
1.76811710e-01	4.72249440e-20
1.79710246e-01	4.35605056e-20
1.82608783e-01	3.93817030e-20
1.85507319e-01	3.47302532e-20
1.88405855e-01	2.96525977e-20
1.91304391e-01	2.42046828e-20
1.94202928e-01	1.84466099e-20
1.97101464e-01	1.24429760e-20
2.00000000e-01	6.27094145e-21
