B_loc(T)	f(B_loc)
File: FieldSweep 8.50K.txt
lambda = 4.431e+04
1.00000000e-06	2.05020050e+01
6.78064407e-03	3.41579505e+01
1.35602881e-02	3.41217767e+01
2.03399322e-02	2.69053806e+01
2.71195763e-02	1.96762401e+01
3.38992203e-02	1.52085906e+01
4.06788644e-02	1.33364600e+01
4.74585085e-02	1.27646713e+01
5.42381525e-02	1.24001432e+01
6.10177966e-02	1.15376044e+01
6.77974407e-02	1.00057449e+01
7.45770847e-02	8.04549018e+00
8.13567288e-02	5.93850976e+00
8.81363729e-02	3.93063439e+00
9.49160169e-02	2.24532190e+00
1.01695661e-01	1.02847524e+00
1.08475305e-01	3.26821119e-01
1.15254949e-01	3.66461497e-02
1.22034593e-01	1.14881423e-19
1.28814237e-01	2.70092871e-18
1.35593881e-01	1.23287854e-18
1.42373525e-01	1.27031417e-18
1.49153169e-01	1.25956800e-18
1.55932814e-01	8.29392574e-19
1.62712458e-01	6.98843091e-19
1.69492102e-01	5.03242550e-19
1.76271746e-01	3.45105761e-19
1.83051390e-01	3.03548249e-19
1.89831034e-01	3.75771495e-19
1.96610678e-01	5.39066096e-19
2.03390322e-01	9.63091177e-19
2.10169966e-01	1.42864462e-18
2.16949610e-01	1.68704051e-18
2.23729254e-01	2.42050257e-18
2.30508898e-01	1.84349672e-18
2.37288542e-01	3.36184910e-18
2.44068186e-01	2.10232899e-18
2.50847831e-01	1.77255410e-18
2.57627475e-01	3.40723758e-18
2.64407119e-01	5.38732188e-18
2.71186763e-01	7.14543080e-26
2.77966407e-01	5.00312539e-22
2.84746051e-01	1.45431306e-02
2.91525695e-01	6.28957125e-02
2.98305339e-01	1.19947711e-01
3.05084983e-01	1.56859390e-01
3.11864627e-01	1.59481799e-01
3.18644271e-01	1.27957729e-01
3.25423915e-01	8.09727735e-02
3.32203559e-01	3.82758658e-02
3.38983203e-01	1.06120902e-02
3.45762847e-01	4.48447735e-08
3.52542492e-01	1.24838852e-14
3.59322136e-01	1.81222749e-13
3.66101780e-01	2.18751625e-21
3.72881424e-01	1.65105745e-16
3.79661068e-01	3.26104272e-24
3.86440712e-01	2.56647945e-18
3.93220356e-01	4.05890067e-18
4.00000000e-01	2.91405266e-18
