B_loc(T)	f(B_loc)
File: FieldSweep 13.00K.txt
lambda = 1.385e+04
1.00000000e-06	4.14486734e+01
2.89953623e-03	1.01007954e+02
5.79807246e-03	1.96788448e+02
8.69660870e-03	2.35997150e+02
1.15951449e-02	2.05260055e+02
1.44936812e-02	1.44150141e+02
1.73922174e-02	7.93109800e+01
2.02907536e-02	2.70433699e+01
2.31892899e-02	2.04056124e+00
2.60878261e-02	2.77133973e-17
2.89863623e-02	8.03697989e-19
3.18848986e-02	2.45380719e-15
3.47834348e-02	7.07271792e-20
3.76819710e-02	1.77280305e-15
4.05805072e-02	7.09541335e-17
4.34790435e-02	2.24939745e-16
4.63775797e-02	5.33138842e-16
4.92761159e-02	1.40295882e-16
5.21746522e-02	3.25204768e-18
5.50731884e-02	3.61785650e-16
5.79717246e-02	4.89817415e-17
6.08702609e-02	9.45456422e-17
6.37687971e-02	1.79871954e-16
6.66673333e-02	3.63969917e-17
6.95658696e-02	1.08334695e-16
7.24644058e-02	9.87186675e-17
7.53629420e-02	3.24112839e-17
7.82614783e-02	5.20717301e-17
8.11600145e-02	1.63269667e-17
8.40585507e-02	3.67966834e-18
8.69570870e-02	1.40154771e-17
8.98556232e-02	5.27284389e-18
9.27541594e-02	3.49477375e-17
9.56526957e-02	3.43676621e-26
9.85512319e-02	2.01372224e-23
1.01449768e-01	1.85341032e-18
1.04348304e-01	5.58271550e-25
1.07246841e-01	1.62018509e-19
1.10145377e-01	1.84139558e-19
1.13043913e-01	2.35277935e-19
1.15942449e-01	2.84644701e-19
1.18840986e-01	3.35356805e-19
1.21739522e-01	3.86066776e-19
1.24638058e-01	4.35854228e-19
1.27536594e-01	4.83794753e-19
1.30435130e-01	5.29076888e-19
1.33333667e-01	5.70986130e-19
1.36232203e-01	6.08918087e-19
1.39130739e-01	6.42345347e-19
1.42029275e-01	6.70821660e-19
1.44927812e-01	6.93982859e-19
1.47826348e-01	7.11502079e-19
1.50724884e-01	7.23164189e-19
1.53623420e-01	7.28791666e-19
1.56521957e-01	7.28244732e-19
1.59420493e-01	7.21485102e-19
1.62319029e-01	7.08503239e-19
1.65217565e-01	6.89348657e-19
1.68116101e-01	6.64137847e-19
1.71014638e-01	6.33036295e-19
1.73913174e-01	5.96242810e-19
1.76811710e-01	5.54042240e-19
1.79710246e-01	5.06758470e-19
1.82608783e-01	4.54745140e-19
1.85507319e-01	3.98440377e-19
1.88405855e-01	3.38301755e-19
1.91304391e-01	2.74859762e-19
1.94202928e-01	2.08679135e-19
1.97101464e-01	1.40311852e-19
2.00000000e-01	7.06097640e-20
