B_loc(T)	f(B_loc)
File: FieldSweep 6.20K.txt
lambda = 1.748e+04
1.00000000e-06	2.92076199e+01
1.17656765e-02	4.39538151e+01
2.35303529e-02	2.97771613e+01
3.52950294e-02	1.29508230e+01
4.70597059e-02	4.19601969e+00
5.88243824e-02	3.58440562e+00
7.05890588e-02	7.83434114e+00
8.23537353e-02	1.31390307e+01
9.41184118e-02	1.68927192e+01
1.05883088e-01	1.79661059e+01
1.17647765e-01	1.65767468e+01
1.29412441e-01	1.35488713e+01
1.41177118e-01	9.88630140e+00
1.52941794e-01	6.30820819e+00
1.64706471e-01	3.31908579e+00
1.76471147e-01	1.26333846e+00
1.88235824e-01	2.47045117e-01
2.00000500e-01	6.06568512e-19
2.11765176e-01	8.09330552e-23
2.23529853e-01	2.78492867e-23
2.35294529e-01	8.85835134e-20
2.47059206e-01	5.91631466e-20
2.58823882e-01	3.67333548e-22
2.70588559e-01	1.77750406e-19
2.82353235e-01	1.06449314e-19
2.94117912e-01	8.08222122e-21
3.05882588e-01	4.81038012e-19
3.17647265e-01	6.39636001e-29
3.29411941e-01	4.38511389e-17
3.41176618e-01	1.36562172e-20
3.52941294e-01	8.87037922e-20
3.64705971e-01	8.16781240e-20
3.76470647e-01	9.05804647e-20
3.88235324e-01	6.63368664e-20
4.00000000e-01	3.49312274e-20
