B_loc(T)	f(B_loc)
File: FieldSweep 11.00K.txt
lambda = 4.431e+04
1.00000000e-06	3.88792406e+01
2.89953623e-03	8.68696959e+01
5.79807246e-03	1.53082581e+02
8.69660870e-03	1.91634455e+02
1.15951449e-02	1.90190845e+02
1.44936812e-02	1.58783669e+02
1.73922174e-02	1.10171240e+02
2.02907536e-02	5.92929479e+01
2.31892899e-02	2.23022020e+01
2.60878261e-02	4.15276807e+00
2.89863623e-02	7.95910545e-17
3.18848986e-02	2.08750450e-18
3.47834348e-02	7.81594582e-15
3.76819710e-02	1.31400878e-20
4.05805072e-02	6.44202768e-21
4.34790435e-02	1.87669710e-14
4.63775797e-02	2.39078304e-21
4.92761159e-02	5.59357377e-16
5.21746522e-02	1.91900123e-16
5.50731884e-02	5.16302714e-17
5.79717246e-02	7.16698522e-18
6.08702609e-02	1.95279543e-16
6.37687971e-02	9.73529681e-17
6.66673333e-02	9.89642340e-17
6.95658696e-02	1.22232380e-16
7.24644058e-02	7.94518454e-17
7.53629420e-02	9.42019731e-17
7.82614783e-02	4.68634774e-17
8.11600145e-02	2.64885505e-17
8.40585507e-02	8.46529534e-18
8.69570870e-02	1.15020933e-17
8.98556232e-02	1.24651540e-17
9.27541594e-02	2.40274985e-17
9.56526957e-02	1.77482564e-17
9.85512319e-02	2.67806129e-17
1.01449768e-01	3.26139907e-17
1.04348304e-01	6.32783729e-17
1.07246841e-01	8.58892651e-22
1.10145377e-01	1.27305903e-15
1.13043913e-01	3.04662331e-27
1.15942449e-01	1.27130772e-17
1.18840986e-01	4.22265748e-17
1.21739522e-01	3.95523834e-18
1.24638058e-01	1.98308125e-16
1.27536594e-01	1.94564644e-21
1.30435130e-01	8.84768139e-21
1.33333667e-01	9.14384137e-19
1.36232203e-01	2.21773295e-18
1.39130739e-01	3.38058740e-18
1.42029275e-01	4.02258461e-18
1.44927812e-01	4.40695917e-18
1.47826348e-01	4.65537680e-18
1.50724884e-01	4.82747002e-18
1.53623420e-01	4.95350029e-18
1.56521957e-01	5.04566529e-18
1.59420493e-01	5.10422886e-18
1.62319029e-01	5.12320112e-18
1.65217565e-01	5.09485854e-18
1.68116101e-01	5.01239466e-18
1.71014638e-01	4.87133353e-18
1.73913174e-01	4.66955775e-18
1.76811710e-01	4.40723198e-18
1.79710246e-01	4.08629045e-18
1.82608783e-01	3.71010901e-18
1.85507319e-01	3.28314217e-18
1.88405855e-01	2.81070564e-18
1.91304391e-01	2.29884437e-18
1.94202928e-01	1.75425945e-18
1.97101464e-01	1.18432449e-18
2.00000000e-01	5.97394476e-19
