B_loc(T)	f(B_loc)
File: FieldSweep 14.00K.txt
lambda = 1.385e+04
1.00000000e-06	4.21590907e+01
2.89953623e-03	1.03014798e+02
5.79807246e-03	2.01263738e+02
8.69660870e-03	2.37628240e+02
1.15951449e-02	1.99740291e+02
1.44936812e-02	1.33172726e+02
1.73922174e-02	6.75707558e+01
2.02907536e-02	1.98383754e+01
2.31892899e-02	5.76966555e-24
2.60878261e-02	2.11852294e-33
2.89863623e-02	3.34350806e-26
3.18848986e-02	3.11846577e-29
3.47834348e-02	2.25934694e-29
3.76819710e-02	6.36768523e-27
4.05805072e-02	1.66548259e-28
4.34790435e-02	1.01368626e-27
4.63775797e-02	5.80009981e-28
4.92761159e-02	1.54629063e-29
5.21746522e-02	3.37829683e-28
5.50731884e-02	6.65601389e-28
5.79717246e-02	1.94355606e-28
6.08702609e-02	1.80451932e-28
6.37687971e-02	1.30704391e-28
6.66673333e-02	6.50563728e-29
6.95658696e-02	8.25838760e-29
7.24644058e-02	9.78680561e-29
7.53629420e-02	3.80132349e-29
7.82614783e-02	4.33503719e-29
8.11600145e-02	2.39554870e-29
8.40585507e-02	1.19068693e-29
8.69570870e-02	4.87029164e-30
8.98556232e-02	2.08924880e-30
9.27541594e-02	1.13676089e-29
9.56526957e-02	3.40795787e-39
9.85512319e-02	1.40071907e-34
1.01449768e-01	2.80708051e-34
1.04348304e-01	7.99806356e-35
1.07246841e-01	1.81143679e-35
1.10145377e-01	3.33605297e-35
1.13043913e-01	6.50048376e-35
1.15942449e-01	8.41183757e-35
1.18840986e-01	1.07369654e-34
1.21739522e-01	1.23379887e-34
1.24638058e-01	1.36686483e-34
1.27536594e-01	1.38379195e-34
1.30435130e-01	1.59632133e-34
1.33333667e-01	1.63863913e-34
1.36232203e-01	1.74866540e-34
1.39130739e-01	1.87749958e-34
1.42029275e-01	1.93486370e-34
1.44927812e-01	2.24613461e-34
1.47826348e-01	1.99740000e-34
1.50724884e-01	2.00539336e-34
1.53623420e-01	2.32183644e-34
1.56521957e-01	2.05147274e-34
1.59420493e-01	2.03642641e-34
1.62319029e-01	1.98987684e-34
1.65217565e-01	1.86621483e-34
1.68116101e-01	1.79286398e-34
1.71014638e-01	1.96683715e-34
1.73913174e-01	1.66026822e-34
1.76811710e-01	1.45949379e-34
1.79710246e-01	1.56293729e-34
1.82608783e-01	1.26389153e-34
1.85507319e-01	1.19430226e-34
1.88405855e-01	8.62577755e-35
1.91304391e-01	7.79587853e-35
1.94202928e-01	6.25245445e-35
1.97101464e-01	3.60289019e-35
2.00000000e-01	2.34981321e-35
