B_loc(T)	f(B_loc)
File: FieldSweep 9.50K.txt
lambda = 8.697e+03
1.00000000e-06	5.22607214e+01
5.10302041e-03	1.08380097e+02
1.02050408e-02	1.72216781e+02
1.53070612e-02	1.41852457e+02
2.04090816e-02	7.71461928e+01
2.55111020e-02	2.95819895e+01
3.06131224e-02	8.35637308e+00
3.57151429e-02	3.21194266e+00
4.08171633e-02	3.30837200e+00
4.59191837e-02	3.88738584e+00
5.10212041e-02	3.68646433e+00
5.61232245e-02	2.60495155e+00
6.12252449e-02	1.14956559e+00
6.63272653e-02	2.15817285e-01
7.14292857e-02	4.34337246e-15
7.65313061e-02	3.40874141e-17
8.16333265e-02	6.39703395e-16
8.67353469e-02	5.66642572e-16
9.18373673e-02	8.85286180e-16
9.69393878e-02	8.24581940e-16
1.02041408e-01	7.90493743e-16
1.07143429e-01	1.96295243e-15
1.12245449e-01	2.55526608e-15
1.17347469e-01	1.13580001e-15
1.22449490e-01	1.23418245e-15
1.27551510e-01	3.00860236e-15
1.32653531e-01	6.39960104e-16
1.37755551e-01	3.62339855e-14
1.42857571e-01	6.45601574e-14
1.47959592e-01	2.97880668e-14
1.53061612e-01	3.95271103e-21
1.58163633e-01	1.32097682e-11
1.63265653e-01	3.48391937e-13
1.68367673e-01	2.96031720e-21
1.73469694e-01	1.61226208e-18
1.78571714e-01	6.67457864e-15
1.83673735e-01	8.32272149e-15
1.88775755e-01	1.39083707e-15
1.93877776e-01	9.23510331e-16
1.98979796e-01	9.32199459e-15
2.04081816e-01	5.74492595e-15
2.09183837e-01	1.29525210e-16
2.14285857e-01	1.60169122e-14
2.19387878e-01	2.33486488e-01
2.24489898e-01	6.10482895e-01
2.29591918e-01	9.93136456e-01
2.34693939e-01	1.19738357e+00
2.39795959e-01	1.15770532e+00
2.44897980e-01	9.24826947e-01
2.50000000e-01	5.32785315e-01
