B_loc(T)	f(B_loc)
File: FieldSweep 4.50K.txt
lambda = 1.748e+04
1.00000000e-06	4.34937862e+01
1.17656765e-02	6.55976075e+01
2.35303529e-02	4.49214989e+01
3.52950294e-02	2.05982675e+01
4.70597059e-02	8.44708267e+00
5.88243824e-02	8.67736499e+00
7.05890588e-02	1.61600881e+01
8.23537353e-02	2.57852197e+01
9.41184118e-02	3.42933551e+01
1.05883088e-01	4.00005653e+01
1.17647765e-01	4.26919822e+01
1.29412441e-01	4.26943917e+01
1.41177118e-01	4.03670822e+01
1.52941794e-01	3.60458615e+01
1.64706471e-01	3.01292922e+01
1.76471147e-01	2.33526523e+01
1.88235824e-01	1.66484838e+01
2.00000500e-01	1.07869081e+01
2.11765176e-01	6.14813203e+00
2.23529853e-01	2.82819618e+00
2.35294529e-01	8.11416903e-01
2.47059206e-01	2.45244923e-12
2.58823882e-01	1.40207717e-22
2.70588559e-01	1.67974899e-20
2.82353235e-01	7.86493116e-33
2.94117912e-01	1.43219935e-29
3.05882588e-01	3.94527454e-30
3.17647265e-01	6.06235762e-32
3.29411941e-01	1.27208951e-36
3.41176618e-01	5.54222628e-35
3.52941294e-01	3.06246125e-35
3.64705971e-01	2.65979933e-35
3.76470647e-01	2.28508985e-35
3.88235324e-01	1.68435024e-35
4.00000000e-01	9.44737004e-36
